name,type,start_time,duration,"value"
"JTAG","v1frame",7.899464219,0.000163469,"Run-Test/Idle"
"JTAG","v1frame",7.899627719,0.00000025,"Select-DR-Scan"
"JTAG","v1frame",7.899628,0.000000219,"Capture-DR"
"JTAG","v1frame",7.89962825,0.000011438,"Shift-DR
0x04000000000 (41)
0x0400FFC0004 (41)"
"JTAG","v1frame",7.899639719,0.000000406,"Exit1-DR"
"JTAG","v1frame",7.899640156,0.00000025,"Update-DR"
"JTAG","v1frame",7.899640437,0.000137969,"Run-Test/Idle"
"JTAG","v1frame",7.899778438,0.00000025,"Select-DR-Scan"
"JTAG","v1frame",7.899778719,0.000000219,"Select-IR-Scan"
"JTAG","v1frame",7.899778969,0.00000025,"Capture-IR"
"JTAG","v1frame",7.89977925,0.000001625,"Shift-IR
0x11 (5)
0x11 (5)"
"JTAG","v1frame",7.899780906,0.000000406,"Exit1-IR"
"JTAG","v1frame",7.899781344,0.000000219,"Update-IR"
"JTAG","v1frame",7.899781594,0.000000406,"Run-Test/Idle"
"JTAG","v1frame",7.899782031,0.00000025,"Select-DR-Scan"
"JTAG","v1frame",7.899782313,0.000000219,"Capture-DR"
"JTAG","v1frame",7.899782563,0.000011437,"Shift-DR
0x04000000006 (41)
0x00000000000 (41)"
"JTAG","v1frame",7.899794031,0.000000406,"Exit1-DR"
"JTAG","v1frame",7.899794469,0.00000025,"Update-DR"
"JTAG","v1frame",7.89979475,0.000114531,"Run-Test/Idle"
"JTAG","v1frame",7.899909313,0.000000219,"Select-DR-Scan"
"JTAG","v1frame",7.899909563,0.00000025,"Capture-DR"
"JTAG","v1frame",7.899909844,0.000011438,"Shift-DR
0x04000000000 (41)
0x04000000004 (41)"
"JTAG","v1frame",7.899921313,0.000000406,"Exit1-DR"
"JTAG","v1frame",7.89992175,0.000000219,"Update-DR"
"JTAG","v1frame",7.899922,0.000122281,"Run-Test/Idle"
"JTAG","v1frame",7.900044313,0.000000219,"Select-DR-Scan"
"JTAG","v1frame",7.900044562,0.00000025,"Select-IR-Scan"
"JTAG","v1frame",7.900044844,0.000000219,"Capture-IR"
"JTAG","v1frame",7.900045094,0.000001656,"Shift-IR
0x11 (5)
0x11 (5)"
"JTAG","v1frame",7.900046781,0.000000375,"Exit1-IR"
"JTAG","v1frame",7.900047188,0.00000025,"Update-IR"
"JTAG","v1frame",7.900047469,0.000000406,"Run-Test/Idle"
"JTAG","v1frame",7.900047906,0.000000219,"Select-DR-Scan"
"JTAG","v1frame",7.900048156,0.00000025,"Capture-DR"
"JTAG","v1frame",7.900048437,0.000011438,"Shift-DR
0x04400000001 (41)
0x00000000000 (41)"
"JTAG","v1frame",7.900059906,0.000000406,"Exit1-DR"
"JTAG","v1frame",7.900060344,0.000000219,"Update-DR"
"JTAG","v1frame",7.900060594,0.00019525,"Run-Test/Idle"
"JTAG","v1frame",7.900255875,0.00000025,"Select-DR-Scan"
"JTAG","v1frame",7.900256156,0.000000219,"Capture-DR"
"JTAG","v1frame",7.900256406,0.000011438,"Shift-DR
0x04400000000 (41)
0x04401003288 (41)"
"JTAG","v1frame",7.900267875,0.000000406,"Exit1-DR"
"JTAG","v1frame",7.900268312,0.00000025,"Update-DR"
"JTAG","v1frame",7.900268594,0.000194656,"Run-Test/Idle"
"JTAG","v1frame",7.900463281,0.00000025,"Select-DR-Scan"
"JTAG","v1frame",7.900463562,0.00000025,"Select-IR-Scan"
"JTAG","v1frame",7.900463844,0.000000219,"Capture-IR"
"JTAG","v1frame",7.900464094,0.000001625,"Shift-IR
0x11 (5)
0x11 (5)"
"JTAG","v1frame",7.90046575,0.000000406,"Exit1-IR"
